Timestamp,Full Name,NetId,a DTI alum,plays an instrument,boba > coffee,switched majors,from west coast,can cook a signature dish,Over 6ft,been on DTI for > 3 sem,studied abroad,has been to more than 3 countries,a newbie,GymRat / GymBaddie,likes anime,worked at a startup,not from the US,has over 3 siblings
2/6/2026 23:05:36,,cl2683,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no
2/7/2026 13:57:40,,ajq22,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no
2/7/2026 13:58:03,,hyz4,no,yes,no,no,no,yes,no,yes,no,yes,no,no,yes,yes,no,no
2/7/2026 13:58:09,,cpr58,no,yes,yes,no,no,yes,no,yes,no,yes,no,no,yes,yes,no,no
2/7/2026 13:58:09,,jxc6,no,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no
2/7/2026 13:58:11,,cl2622,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no
2/7/2026 13:58:12,,mk2672,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no
2/7/2026 13:58:14,,cc2785,no,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no
2/7/2026 13:58:14,,ei83,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no
2/7/2026 13:58:18,,xl966,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
2/7/2026 13:58:19,,drk229,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,no
2/7/2026 13:58:28,,es999,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no
2/7/2026 13:58:31,,ocl9,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
2/7/2026 13:58:33,,ms3886,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,yes,no
2/7/2026 13:58:35,,al2589,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
2/7/2026 13:58:37,,Cw945,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
2/7/2026 13:58:44,,anc76,no,no,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,no,no
2/7/2026 13:58:44,,Mhs329,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no
2/7/2026 13:58:45,,aa2732,no,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no
2/7/2026 13:58:56,,Jdk345,no,yes,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no
2/7/2026 13:58:56,,Ch2224,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no
2/7/2026 13:58:57,,as4288,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no
2/7/2026 13:58:59,,egk46,no,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no
2/7/2026 13:58:59,,hg532,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,yes,no
2/7/2026 13:59:01,,cms556,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no
2/7/2026 13:59:06,,il323,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no
2/7/2026 13:59:06,,asc344,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes
2/7/2026 13:59:16,,aep227,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
2/7/2026 13:59:19,,ta375,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no
2/7/2026 13:59:24,,jhg294,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no
2/7/2026 13:59:36,,jk2756,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no
2/7/2026 13:59:46,,nt387,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no
2/7/2026 14:00:41,,rt489,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,yes
2/7/2026 14:01:21,,Aw867,no,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no
2/7/2026 14:02:56,,as4274,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no
2/7/2026 22:48:01,,Lsp75,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no
2/9/2026 0:51:51,,er549,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes
2/11/2026 17:02:19,,jt938,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no
2/11/2026 18:16:11,,jpg285,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes
2/11/2026 19:11:10,,gsh76,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no
2/11/2026 22:02:17,,may52,no,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no
2/19/2026 19:12:08,,cy562,no,no,yes,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no
2/19/2026 20:20:15,,kh862,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
2/19/2026 20:35:42,,ek782,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no
2/19/2026 22:16:48,,Gl532,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no
2/20/2026 15:32:29,,yz2395,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no
2/21/2026 14:02:04,,hhs74,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no
2/21/2026 14:02:35,,wc724,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no
2/21/2026 14:03:08,,hv96,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
2/21/2026 14:04:19,,nmp79,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no
2/21/2026 15:05:28,,sm2883,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no
2/21/2026 16:25:52,,wc679,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no
2/22/2026 0:30:32,,bs887,no,no,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no
2/22/2026 1:42:47,,as4465,no,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no
2/23/2026 19:47:59,,ak2835,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,no
2/24/2026 21:16:38,,zw757,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no
3/2/2026 10:43:16,,sg2626,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no
3/2/2026 18:09:53,,drk229,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,yes,no
3/2/2026 18:13:44,,em849,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no